 No    Ref    V       B-V     U-B
 0612   158  15.230   0.970   0.410
 0659   158  12.450   0.630   0.130
 0660   158  14.750   0.930   0.550
 0661   158  14.540   0.890   0.300
 0662   158  15.470   1.460  -0.220
 0663   158  15.240   1.230         
 0664   158  14.400   0.750   0.160
 0665   158  14.860   0.840   0.140
 0666   158  15.360   0.920   0.820
 0667   158  11.340   0.420   0.090
 0668   158  12.350   0.490   0.030
 0669   158  13.050   0.590   0.110
 0670   158  14.000   0.890   0.580
 0671   158  12.740   0.500  -0.030
 0672   158  16.500   0.090  -0.430
 0673   158  12.470   0.380   0.300
 0674   158  12.670   0.570         
 0675   158  14.380   0.850   0.590
 0676   158  15.110   0.910   1.170
 0677   158   9.910   0.290   0.120
 0678   158  14.920   1.010   0.710
 0679   158  14.210   0.750   0.200
 0680   158  12.010   1.110   0.150
 0682   158  12.810   0.730   0.200
 0684   158  15.740   0.670   1.200
 0685   158  13.800   0.670   0.500
 0686   158  10.850   0.350   0.200
 0687   158  11.470   1.860   2.040
 0688   158  10.600   0.610   0.060
 0689   158  13.800   0.730   0.670
 0690   158  13.670   0.950   0.440
 0691   158  13.780   0.810   0.250
 0692   158  12.160   0.480  -0.110
 1199   158  12.120   0.270   0.220


