  No    Ref    V       B-V     U-B
 1016   558  16.061   0.796   0.337
 1017   558  17.342   0.980   0.619
 1018   558  18.816   0.909   0.583
 1019   558  18.329   0.868   0.327
 1020   558  18.341   0.868   0.517
 1021   558  18.476   0.730   0.283
 1022   558  18.466   1.076   1.004
 1023   558  18.426   0.714  -0.079
 1024   558  15.838   0.697   0.135
 1025   558  17.794   0.897   0.346
 1026   558  16.726   1.028   0.682
 1027   558  17.924   0.681   0.033
 1028   558  15.279   0.753   0.297
 1029   558  17.803   0.909   0.456
 1030   558  18.527   0.763   0.168
 1031   558  18.847   0.823  -0.126
 1032   558  16.816   1.008   0.730
 1033   558  18.661   0.823   0.198
 1034   558  18.056   0.667   0.055
 1035   558  18.775   0.860   0.412
 1036   558  16.420   0.798   0.310
 1037   558  16.224   0.885   0.470
 1038   558  16.848   0.597   0.033
 1039   558  15.656   0.619   0.039
 1040   558  16.426   0.674   0.143
 1041   558  18.674   0.723   0.175
 1042   558  15.314   0.654   0.090
 1043   558  16.124   0.674   0.051
 1044   558  19.023   0.675   0.067
 1045   558  17.204   0.745   0.129
 1046   558  18.970   0.760   0.329
 1047   558  15.048   0.833   0.484
 1048   558  19.253   0.838   0.670
 1049   558  19.412   0.691   0.181
 1050   558  18.186   0.961   0.583
 1051   558  17.397   1.276   1.070
 1052   558  17.851   0.592   0.008
 1053   558  18.347   0.781   0.316
 1054   558  17.919   0.904   0.489
 1055   558  18.231   0.813   0.266
 1056   558  18.739   0.665  -0.082
 1057   558  18.211   0.678   0.098
 1058   558  15.439   1.068   0.959
 1059   558  18.110   0.881   0.418
 1060   558  15.289   1.231   1.139
 1061   558  18.671   0.684   0.133
 1062   558  19.004   0.728   0.287
 1063   558  18.325   0.717   0.156
 1064   558  17.583   0.865   0.251
 1065   558  17.999   0.817   0.364
 1066   558  15.454   1.151   1.051
 1067   558  17.604   0.725   0.189
 1068   558  16.365   0.777   0.196
 1069   558  15.539   0.789   0.339
 1070   558  16.339   0.894   0.502
 1071   558  18.820   0.923   0.656
 1072   558  15.998   0.682   0.058
 1073   558  15.310   0.688   0.138
 1074   558  18.139   0.646   0.083
 1075   558  17.940   0.913   0.584
 1076   558  18.340   0.666   0.028
 1077   558  18.904   0.872   0.392
 1078   558  17.474   1.391   1.243
 1079   558  15.484   0.795   0.281
 1080   558  16.920   1.058   0.752
 1081   558  16.997   1.145   1.003
 1082   558  17.568   0.720   0.143
 1083   558  19.071   0.878   0.331
 1084   558  17.260   0.927   0.515
 1085   558  17.183   1.089   1.067
 1086   558  19.515   0.841   0.307
 1087   558  17.053   0.694   0.071
 1088   558  17.213   0.619   0.034
 1089   558  15.925   0.823   0.349
 1090   558  16.708   0.776   0.283
 1091   558  18.377   0.805   0.285
 1092   558  18.295   0.656   0.172
 1093   558  17.791   0.924   0.450
 1094   558  18.799   0.840   0.117
 1095   558  15.952   0.817   0.363
 1096   558  17.162   0.731   0.167
 1097   558  18.122   0.946   0.378
 1098   558  16.311   0.604  -0.067
 1099   558  16.619   0.832   0.342
 1100   558  15.304   0.876   0.378
 1101   558  18.456   0.682  -0.011
 1102   558  18.364   0.903   0.498
 1103   558  18.197   0.912   0.538
 1104   558  16.982   1.091   1.077
 1105   558  16.951   0.653   0.041
 1106   558  18.349   0.893   0.524
 1107   558  17.744   0.737   0.063
 1108   558  17.712   0.628   0.015
 1109   558  16.820   0.704   0.105
 1110   558  18.824   0.780   0.123
 1111   558  17.773   0.753   0.125
 1112   558  16.810   0.726   0.199
 1113   558  17.218   1.303   1.430
 1114   558  18.550   0.793   0.398
 1115   558  16.802   1.015   0.565
 1116   558  15.214   0.528   0.009
 1117   558  17.001   0.746   0.319
 1118   558  16.343   0.944   0.645
 1119   558  16.687   0.955   0.635
 1120   558  15.786   0.965   0.558
 1121   558  18.314   0.804   0.283
 1122   558  16.134   0.785   0.290
 1123   558  16.126   0.701   0.159
 1124   558  16.318   0.892   0.582
 1125   558  17.291   0.741   0.128
 1126   558  15.986   0.840   0.369
 1127   558  17.578   0.697  -0.035
 1128   558  15.888   0.544  -0.007
 1129   558  16.041   0.737   0.263
 1130   558  15.985   0.620   0.057
 1131   558  16.202   0.766   0.245
 1132   558  17.253   0.629  -0.042
 1133   558  15.824   0.695   0.200
 1134   558  17.427   0.647   0.137
 1135   558  17.857   1.249   1.120
 1136   558  16.887   0.771   0.245
 1137   558  18.733   0.782  -0.009
 1138   558  19.220   0.715   0.063
 1139   558  16.630   1.256   1.266
 1140   558  17.831   0.825   0.252
 1141   558  18.402   1.441   1.068
 1142   558  18.011   0.895   0.544
 1143   558  17.878   0.898   0.535
 1144   558  15.489   0.541  -0.033
 1145   558  17.946   0.600  -0.051
 1146   558  15.632   1.039   0.683
 1147   558  18.374   0.926   0.505
 1148   558  17.949   1.018   0.822
 1149   558  17.387   1.160   1.169
 1150   558  18.049   0.837   0.381
 1151   558  16.617   1.065   0.899
 1152   558  16.387   0.903   0.505
 1153   558  15.465   0.854   0.446
 1154   558  17.119   0.729   0.106
 1155   558  16.493   0.703   0.094
 1156   558  17.829   0.601  -0.028
 1157   558  18.247   0.800   0.400
 1158   558  18.760   0.805   0.279
 1159   558  16.997   0.787   0.414
 1160   558  18.334   0.607  -0.014
 1161   558  17.392   1.177   1.084
 1162   558  15.378   0.787   0.267
 1163   558  15.769   0.775   0.150
 1164   558  17.068   0.717   0.176
 1165   558  17.401   0.792   0.221
 1166   558  17.413   0.754   0.260
 1167   558  15.439   0.628   0.030
 1168   558  16.286   0.895   0.434
 1169   558  17.522   1.170   1.382
 1170   558  18.465   0.792   0.398
 1171   558  17.418   1.205   1.073
 1172   558  18.215   0.758   0.154
 1173   558  17.733   0.568  -0.143
 1174   558  17.534   0.680         
 1175   558  19.222   0.668  -0.026
 1176   558  15.575   0.825   0.331
 1177   558  19.141   0.761   0.012
 1178   558  18.316   0.803   0.001
 1179   558  17.946   0.786   0.501
 1180   558  17.144   0.826   0.349
 1181   558  18.844   0.631   0.164
 1182   558  17.990   0.616  -0.005
 1183   558  17.722   0.993   0.664
 1184   558  16.177   0.457   0.091
 1185   558  16.694   1.060   0.930
 1186   558  18.413   0.855   0.385
 1187   558  19.291   0.744   0.083
 1188   558  16.242   0.651  -0.030
 1189   558  19.500   0.696   0.356
 1190   558  18.761   0.828   0.272
 1191   558  19.259   0.609   0.051
 1192   558  16.637   0.911   0.490
 1193   558  18.832   0.460  -0.045
 1194   558  19.297   0.799  -0.038
 1195   558  17.932   0.722   0.082
 1196   558  16.206   0.856   0.461
 1197   558  17.699   0.783   0.321
 1198   558  16.027   0.853   0.416
 1199   558  17.723   0.631   0.129
 1200   558  18.826   0.645  -0.048
 1201   558  17.785   0.878   0.624
 1202   558  17.944   0.863   0.693
 1203   558  19.297   0.809   0.489
 1204   558  17.701   0.703   0.119
 1205   558  16.741   0.813   0.418
 1206   558  15.610   0.721   0.275
 1207   558  18.202   0.738   0.242
 1208   558  19.134   0.809  -0.176
 1209   558  17.261   0.764   0.078
 1210   558  16.117   0.735   0.278
 1211   558  16.874   0.936   0.662
 1212   558  16.934   0.680   0.095
 1213   558  18.633   0.551   0.036
 1214   558  17.599   0.966   0.942
 1215   558  17.733   0.754   0.204
 1216   558  18.573   0.664   0.030
 1217   558  16.970   0.800   0.348
 1218   558  18.393   0.802   0.303
 1219   558  16.186   0.620   0.076
 1220   558  19.690   0.703  -0.044
 1221   558  19.005   0.746   0.147
 1222   558  17.706   0.786   0.251
 1223   558  18.067   0.649  -0.048
 1224   558  17.599   1.472   0.968
 1225   558  17.725   0.808   0.390
 1226   558  18.076   0.706  -0.317
 1227   558  18.773   0.852   0.158
 1228   558  17.950   0.821   0.116
 1229   558  17.056   1.088   0.745
 1230   558  17.471   0.920   0.479
 1231   558  18.769   0.694  -0.233
 1232   558  18.396   1.006   0.839
 1233   558  18.420   0.819   0.283
 1234   558  18.937   0.703  -0.334
 1235   558  17.714   0.768   0.126
 1236   558  18.056   1.110   0.657
 1237   558  16.933   0.784   0.126
 1238   558  16.811   0.860   0.117
 1239   558  18.275   0.744   0.156
 1240   558  17.311   0.749   0.056
 1241   558  18.141   1.028   0.294
 1242   558  16.277   0.883   0.288
 1243   558  16.208   1.031   0.820
 1244   558  16.191   1.115   0.885
 1245   558  18.209   0.606  -0.134
 1246   558  18.274   0.684  -0.166
 1247   558  15.648   1.116   0.781
 1248   558  15.909   0.705   0.136
 1249   558  18.844   1.037  -0.257
